UO;username;Sigla
26352;ufabc;UFABC
26275;ufac_oficial;UFAC
26231;ufaloficial;UFAL
26270;ufam__;UFAM
26456;ufape.oficial;UFAPE
26232;ufbaempauta;UFBA
26233;ufcinforma;UFC
26449;ufcaoficial;UFCA
26452;ufcatalao;UFCAT
26252;ufcg_oficial;UFCG
26284;ufcspaoficial;UFCSPA
26455;ufdpar.br;UFDPAR
26264;ufersa;UFERSA
26234;ufesoficial;UFES
26236;uffoficial;UFF
26440;escolhiseruffs;UFFS
26235;ufg_oficial;UFG
26350;ufgdoficial;UFGD
26453;ufj.oficial;UFJ
26237;ufjf;UFJF
26263;uflabr;UFLA
26272;ufmaoficial;UFMA
26238;ufmg;UFMG
26283;ufmsoficial;UFMS
26276;ufmt.br;UFMT
26457;ufnt.oficial;UFNT
26447;ufoboficial;UFOB
26277;minhaufop;UFOP
26441;ufopaoficial;UFOPA
26239;ufpa_oficial;UFPA
26240;ufpb.oficial;UFPB
26242;ufpe.oficial;UFPE
26278;ufpeloficial;UFPEL
26279;ufpi;UFPI
26241;ufpr_oficial;UFPR
26454;ufr.edu.br;UFR
26253;ufraoficial;UFRA
26351;ufrb_edu;UFRB
26244;ufrgsnoticias;UFRGS
26245;ufrj.oficial;UFRJ
26243;ufrn.br;UFRN
26248;ufrpe;UFRPE
26250;ufrroficial;UFRR
26249;universidadefederalrural;UFRRJ
26281;ufsoficial;UFS
26450;ufsb_oficial;UFSB
26246;universidadeufsc;UFSC
26280;ufscaroficial;UFSCar
26285;ufsjbr;UFSJ
26247;ufsm.br;UFSM
26251;uftoficial;UFT
26254;uftmsocial;UFTM
26274;ufu_oficial;UFU
26282;ufvbroficial;UFV
26255;ufvjmoficial;UFVJM
26271;unb_oficial;UnB
26260;unifalmg;UNIFAL
26286;unifapoficial;UNIFAP
26261;unifei_oficial;UNIFEI
26262;unifespoficial;UNIFESP
26448;unifesspa;UNIFESSPA
26267;instaunila;UNILA
26442;unilab.oficial;UNILAB
26266;teliganaunipampa;UNIPAMPA
26268;unir.rondonia;UNIR
26269;unirio_oficial;UNIRIO
26230;univasf;UNIVASF
26258;utfpr_;UTFPR
