INSTITUIÇÃO;SIGLA.INSTITUIÇÃO;UNIDADE;SIGLA.UNIDADE;username;ID Associado;cod_auxiliar;;;;;;;;;;;;;;;
FUNDAÇÃO VALE DO TAQUARI DE EDUCAÇÃO E DESENVOLVIMENTO SOCIAL;FUVATES;UNIVERSIDADE DO VALE DO TAQUARI;UNIVATES;univates;2146;2146;;;;;;;;;;;;;;;
UNIVERSIDADE REGIONAL DO CARIRI;URCA;DEPTO. ENGENHARIA DE PRODUÇÃO;DEPRO;urca.oficial;2204;2204;;;;;;;;;;;;;;;
UNIVERSIDADE SALVADOR;UNIFACS;FACS - SERVIÇOS EDUCACIONAIS LTDA;EAETI;universidadesalvador;2147;2147;;;;;;;;;;;;;;;
UNIVERSIDADE FEDERAL DE ITAJUBÁ;UNIFEI;INSTITUTO DE ENGENHARIA DE PRODUÇÃO E GESTÃO;IEPG;iepgunifei;;iepgunifei;;;;;;;;;;;;;;;
UNIVERSIDADE FEDERAL DA PARAÍBA;UFPB;DEPARTAMENTO DE ENGENHARIA DE PRODUÇÃO /CENTRO DE TECNOLOGIA /UNIVERSIDADE FEDERAL DA PARAÍBA;DEP/CT/UFPB;depufpb;;depufpb;;;;;;;;;;;;;;;
UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;ufpe.oficial;;ufpe.oficial;;;;;;;;;;;;;;;
INSTITUTOS SUPERIORES DE ENSINO DO CENSA;ISECENSA;INSTITUTO TECNOLÓGICO, DAS CIÊNCIAS SOCIAIS APLICADAS E DA SAÚDE;ITCSAS;isecensaoficial;2151;2151;;;;;;;;;;;;;;;
FACULDADES CATÓLICAS;PUC/RIO;DEPTO. ENGENHARIA INDUSTRIAL;DEI;deipucrio;2152;2152;;;;;;;;;;;;;;;
UNIVERSIDADE CANDIDO MENDES;UCAM;UNIVERSIDADE CANDIDO MENDES (CAMPOS DOS GOYTACAZES);UCAM-CAMPOS;ucamcampos;2153;2153;;;;;;;;;;;;;;;
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;COPPE;COPPE;COPPE;coppeufrj;;coppeufrj;;;;;;;;;;;;;;;
