UO;username
26257;cefetmg
26256;cefet_rj
26201;cp2oficial
26420;if.farroupilha
26425;ifacoficial
26402;ifal.oficial
26403;ifam_oficial
26426;ifapoficial
26428;ifbrasilia
26427;ifbaoficial
26404;ifbaiano
26422;ifc.oficial
26405;ifceoficial
26406;ifesoficial
26434;iffluminense
26429;ifg_oficial
26407;ifgoiano
26408;ifma.oficial
26409;ifmgnarede
26415;ifms.oficial
26414;ifmt_oficial
26410;ifnmg_oficial
26416;ifpaoficial
26417;ifpb.oficial
26418;ifpeoficial
26431;ifpiaui
26432;ifpr.oficial
26433;ifrj.oficial
26435;ifrnoficial
26421;ifro_oficial
26437;ifrroficial
26419;ifrsoficial
26423;ifsergipe_oficial
26438;ifsc
26430;ifsertaope
26439;ifsp_oficial
26411;ifsudestemg
26436;ifsul_oficial
26412;ifsuldeminas
26413;iftmoficial
26424;ifto.oficial
